,ref_id,ra,dec,filename,exp_num,image_id,r50,sersic_n_gim2d,flux,flux_error,aperture_a,aperture_b,aperture_theta,psf_fwhm,filter,aperture_x,aperture_y,I_auto
285,35440,150.49509,1.970207,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,13.1845,0.69976,0.0781602,1.87155,0.993183,0.932218,-28.1821,1.18573,NB685,741.078,276.003,21.863
286,35045,150.49181,1.999056,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,22.3304,0.78445,0.184847,2.11183,1.23055,1.0006,-52.7634,1.18573,NB685,335.568,223.84,22.249
287,35008,150.49161,2.001194,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,25.3551,0.96248,5.21375,2.31959,1.31932,1.10657,26.8544,1.18573,NB685,305.432,220.537,21.242
288,35172,150.48911,1.989045,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,17.8554,0.46879,-0.179959,1.94403,1.11346,0.919308,-55.4416,1.18573,NB685,475.416,188.212,22.404
289,18590,150.48094,1.953437,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,30.781,0.2,4.45719,2.20259,1.48394,0.872305,12.0024,1.18573,NB685,971.531,81.0412,22.03
290,35163,150.48601,1.989059,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,12.3448,2.0525,1.32626,2.03597,1.15554,0.968284,61.6228,1.18573,NB685,474.287,144.687,21.96
291,19152,150.52084,1.908004,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,15.5174,1.2232,-1.04194,2.11142,1.05452,0.95272,-32.7224,1.18573,NB685,1611.84,644.785,22.38
292,19062,150.52198,1.918317,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,26.7317,1.4354,11.5934,2.58964,1.36367,1.20532,-15.883,1.18573,NB685,1469.37,659.342,20.868
293,19312,150.51149,1.894179,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,27.7853,2.0808,11.7165,2.24255,1.397,1.02737,-11.1726,1.18573,NB685,1801.08,516.522,21.186
294,19180,150.51218,1.905177,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,10.6855,3.1361,-0.0625008,1.95608,1.10649,0.983777,17.9255,1.18573,NB685,1649.23,524.807,21.86
295,19143,150.51107,1.909745,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,23.0266,1.7996,4.70324,2.30725,1.25454,1.16707,-72.5637,1.18573,NB685,1585.81,508.797,21.673
296,19255,150.50928,1.899386,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,12.67,3.8867,5.36514,2.00513,1.16371,1.02917,-15.0681,1.18573,NB685,1728.72,485.19,21.591
297,18771,150.51303,1.939179,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,16.3057,0.57309,2.71739,1.84069,1.07143,0.93783,-86.2938,1.18573,NB685,1178.08,531.937,21.905
298,18785,150.50851,1.937689,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,18.0415,0.91725,6.19462,2.04846,1.11839,1.07323,-52.8209,1.18573,NB685,1197.75,469.194,22.179
299,19141,150.50324,1.909793,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,4.65893,4.5315,3.25809,1.69038,0.923648,0.895234,79.4885,1.18573,NB685,1583.53,399.809,22.382
300,19031,150.50317,1.917877,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,6.72611,3.0669,-0.658051,1.8296,0.980739,0.972859,-59.7671,1.18573,NB685,1471.53,397.72,22.544
301,19017,150.50245,1.919194,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,14.2664,1.1907,1.78931,1.82888,1.02927,0.919777,-61.0023,1.18573,NB685,1453.11,387.499,22.611
302,18829,150.50445,1.936647,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,9.86738,0.915,0.717573,1.6793,0.930921,0.869453,-25.5536,1.18573,NB685,1211.29,412.754,22.112
303,18750,150.50255,1.93931,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,18.9258,0.43661,5.23424,2.0792,1.13651,1.07385,-49.725,1.18573,NB685,1173.82,385.824,22.024
304,18702,150.5033,1.943828,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,16.0643,0.69046,6.05818,1.97407,1.06653,1.02518,-23.4265,1.18573,NB685,1111.16,395.55,21.591
305,18749,150.50213,1.937681,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,10.6997,1.2416,1.1453,1.73306,0.942737,0.913735,16.26,1.18573,NB685,1196.38,380.226,22.303
